# Accelerometer Data File
# Started @Tue Jun 13 17:30:27 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
6.737 4.471 6.255 2
6.428 4.873 6.282 3
6.181 5.084 6.313 2
6.591 4.725 6.416 3
6.598 4.746 6.526 3
6.682 4.524 6.708 2
6.9 4.26 6.665 3
6.325 4.775 6.591 2
6.416 4.703 6.059 3
6.612 4.404 5.678 2
7.043 3.798 5.7 3
7.046 3.297 5.237 2
6.571 3.427 4.766 3
6.399 3.252 4.215 2
6.217 3.194 3.25 3
6.1 2.881 2.136 2
6.456 2.416 1.233 3
6.607 2.121 0.878 2
6.842 2.112 0.182 3
7.805 1.195 -0.04 2
7.403 2.155 0.028 3
8.03 2.426 -0.198 3
9.182 1.681 0.035 2
9.254 2.179 0.464 3
9.594 2.224 0.677 2
9.924 2.014 0.969 3
10.286 1.381 1.12 2
10.291 1.07 1.219 3
9.836 1.259 1.396 2
9.39 1.518 1.396 3
9.184 1.662 1.307 2
9.079 1.844 1.319 3
8.983 1.971 1.254 2
8.792 2.052 1.202 3
8.713 2.361 1.379 2
8.42 2.598 1.472 3
8.363 2.754 1.551 2
8.174 2.921 1.571 3
7.853 3.137 1.583 3
7.558 3.417 1.654 2
7.204 3.851 1.781 3
6.907 4.054 1.848 2
6.638 4.533 1.904 3
6.401 4.859 2.33 2
6.353 5.072 2.49 3
6.157 5.372 2.845 2
6.08 5.697 3.039 3
6.057 6.004 3.247 2
6.028 6.365 3.688 3
5.98 6.449 3.786 2
5.817 6.612 3.963 3
5.86 6.734 4.04 2
5.961 6.612 4.354 3
6.045 6.409 4.672 2
6.071 6.107 4.699 3
6.095 5.999 4.775 3
6.066 5.812 4.466 2
6.021 5.649 4.057 3
6.102 5.609 3.882 2
6.164 5.453 3.41 3
6.222 5.475 3.041 2
6.236 5.546 2.66 3
6.286 5.664 2.713 2
6.212 5.685 2.49 3
6.047 5.707 2.354 2
6.021 5.695 1.913 3
6.045 5.635 1.511 2
6.298 5.68 1.231 3
6.514 5.678 0.785 2
6.835 5.566 0.28 3
7.297 5.379 -0.174 2
7.85 5.115 -0.534 3
8.425 4.77 -0.756 3
8.971 4.481 -0.967 2
9.175 4.315 -1.013 3
9.287 4.294 -1.015 2
9.129 4.239 -0.89 3
8.964 4.37 -0.761 2
8.765 4.552 -0.74 3
8.425 4.675 -0.522 2
8.305 4.926 -0.445 3
8.047 5.247 -0.007 2
8.135 5.47 0.189 3
8.428 5.68 0.562 2
8.432 6.159 0.943 3
8.758 6.306 1.384 2
8.861 6.476 1.959 3
8.737 6.773 2.567 2
8.423 7.153 3.149 3
8.279 7.498 3.381 3
8.078 7.81 3.805 2
7.877 7.977 4.093 3
7.357 8.406 4.267 2
7.247 8.559 4.346 3
7.331 8.756 4.327 2
